Brine_p,brinein_T,brinein_m1,pumpspeed1,AmbientT,gross_p1,pumpcost1,brineout_T
133.4,422.57224,182.1197,1199.0,293.20557,7936.6323,1553.3531,345.16946
133.5,422.57224,182.11972,1198.9996,292.37222,8068.49,1561.2709,344.59018
133.5,422.57224,182.11975,1198.9996,290.20557,8432.918,1581.0524,343.11383
133.2,422.57224,182.11975,1198.9996,289.2611,8601.189,1589.3129,342.48315
133.2,422.57224,182.11983,1198.9991,291.31668,8251.793,1571.0529,343.89383
133.1,422.57224,182.11972,1198.9996,292.15,8109.399,1563.3533,344.44287
133.1,422.57224,182.11975,1198.9998,296.65,7379.4707,1518.7942,347.45355
133.1,422.57224,182.11969,1199.0,299.70557,6908.3286,1485.654,349.4551
133.2,422.57224,182.11972,1199.0,302.98334,6437.1104,1447.4922,351.60916
133.3,422.57224,227.50981,1039.2505,304.65,6204.4897,1427.0468,352.67844
133.3,422.57224,230.3205,1027.3151,305.92776,6026.288,1410.8955,353.47693
133.4,422.57224,230.3205,1027.3151,307.03888,5875.071,1396.514,354.1729
133.4,422.57224,230.3205,1027.3151,307.65,5791.7344,1388.4707,354.54367
133.3,422.57224,230.3205,1027.3151,307.53888,5802.58,1389.9402,354.46185
133.3,422.57224,230.3205,1027.3151,307.59445,5794.633,1389.2058,354.4924
133.3,422.57224,230.3205,1027.3151,307.42776,5817.512,1391.4065,354.39313
133.5,422.57224,230.3205,1027.3151,305.92776,6021.6064,1410.8955,353.46017
133.6,422.57224,227.50978,1039.2506,304.48334,6217.807,1429.123,352.53607
133.7,422.57224,182.1197,1199.0,301.09445,6701.521,1469.8146,350.35788
133.6,422.57224,182.11969,1199.0,299.65,6915.5337,1486.2775,349.4109
133.5,422.57224,182.11969,1199.0,300.42776,6795.419,1477.4781,349.91122
133.5,422.57224,182.11969,1199.0,299.48334,6937.2856,1488.1433,349.29865
133.6,422.57224,182.11969,1199.0,298.53888,7069.927,1498.5841,348.64688
133.8,422.57224,182.11969,1199.0,298.2611,7113.1553,1501.6123,348.46933
133.9,422.57224,182.1197,1199.0,297.15,7285.356,1513.5316,347.74005
134.0,422.57224,182.11975,1198.9998,295.98334,7467.8164,1525.714,346.96155
133.8,422.57224,182.11969,1199.0,294.2611,7744.4824,1543.0767,345.81668
133.6,422.57224,182.11975,1198.9998,294.2611,7743.817,1543.0767,345.81244
133.6,422.57224,182.1197,1199.0,293.92776,7799.4546,1546.3518,345.59833
133.5,422.57224,182.11969,1199.0,294.92776,7635.3,1536.4434,346.2525
133.4,422.57224,182.1197,1198.9999,296.65,7363.104,1518.7942,347.40637
133.5,422.57224,182.11969,1199.0,298.42776,7087.5596,1499.7976,348.57834
133.6,422.57224,182.11972,1199.0,300.48334,6781.436,1476.8439,349.92694
133.7,422.57224,182.1197,1199.0,302.53888,6485.331,1452.8257,351.26834
133.8,422.57224,182.12009,1199.0,303.81668,6306.6313,1437.3574,352.09393
133.6,422.57224,230.3205,1027.3151,305.20557,6116.816,1420.0754,352.9908
133.6,422.57224,230.3205,1027.3151,305.92776,6020.587,1410.8955,353.45248
133.6,422.57224,230.3205,1027.3151,306.15,5991.074,1408.0442,353.599
133.7,422.57224,230.3205,1027.3151,305.98334,6014.982,1410.1837,353.5026
133.9,422.57224,230.3205,1027.3151,305.87222,6029.766,1411.6063,353.4293
133.9,422.57224,227.50981,1039.2505,304.42776,6226.149,1429.8136,352.5049
133.9,422.57224,182.11972,1198.9999,302.2611,6535.5264,1456.1337,351.12354
133.8,422.57224,182.11969,1199.0,299.31668,6972.9644,1490.0021,349.22232
133.7,422.57224,182.11975,1198.9998,297.20557,7296.4346,1512.9429,347.82736
133.5,422.57224,182.11969,1199.0,297.15,7301.59,1513.5316,347.7874
133.6,422.57224,182.1197,1199.0,296.7611,7356.533,1517.6301,347.51114
133.6,422.57224,182.11969,1199.0,295.7611,7515.508,1527.996,346.8539
133.5,422.57224,182.1197,1199.0,293.15,7937.3022,1553.8864,345.09976
133.4,422.57224,182.11977,1198.9995,291.15,8266.671,1572.5723,343.74237
133.4,422.57224,182.11975,1198.9996,290.37222,8397.603,1579.5718,343.20743
133.3,422.57224,182.11975,1198.9996,289.53888,8503.089,1524.0652,342.90424
145.7,422.57224,182.11972,1199.0,303.59445,6075.2095,1087.023,353.99228
141.3,422.57224,182.1197,1199.0,301.65,6545.9824,1463.3428,350.5035
141.2,422.57224,182.11975,1198.9998,299.2611,6904.1963,1490.6201,348.97537
141.2,422.57224,182.11969,1199.0,298.48334,7092.4155,1499.1914,348.7254
141.1,422.57224,182.11969,1199.0,297.7611,7220.2964,1507.0142,348.3431
141.1,422.57224,182.1197,1198.9999,296.48334,7439.048,1520.5345,347.62436
141.1,422.57224,182.11969,1199.0,295.03888,7675.2827,1535.327,346.70035
140.2,422.57224,182.1197,1199.0,293.98334,7885.8853,1545.8079,346.24475
137.6,422.57224,182.1197,1199.0,292.70557,8119.2036,1558.1246,345.5228
136.5,422.57224,182.11975,1198.9996,291.59445,8303.343,1568.5055,344.7745
135.3,422.57224,182.11975,1198.9996,290.98334,8406.873,1574.0848,344.3571
134.1,422.57224,182.11975,1198.9996,290.31668,8517.985,1580.0663,343.8841
133.3,422.57224,182.11975,1198.9996,289.92776,8582.825,1583.5048,343.60544
132.6,422.57224,182.11975,1198.9996,291.42776,8326.097,1570.0363,344.6057
