Time,Gross,Net,BrineInletPressure,BrineOutletPressure,BrineInletTemp,BrineOutletTemp,BrineOutletFlow,BrineOutletTempVaporizer_A_,BrineOutletTempVaporizer_B_,BrineOutletTempPreheater_A_,BrineOutletTempPreheater_B_,BrineFlowControlValvePosition,R134AInletTemp,R134AOutletTempPreheater_A_,R134AOutletTempVaporizer_A_,R134AOutletTempPreheater_B_,R134AOutletTempVaporizer_B_,IGVSetPoint,R134aPumpDischPressure,R134aPumpSpeed,TurboInletPressure_A_,TurboInletPressure_B_,TurboInletTemp,TurboInletSuperheat,TurboExhaustPressure,TurboExhaustTemp,TurboExhaustSuperheat,CondenserPressure,CondenserTemp,CondenserLevel,FanASpeed,AmbientTemp
01/01/2017 01:00,10.038,8.416,127.2,124.2,301.3,111.1,2749.0,199.9,197.9,111.2,108.3,48.8,60.1,191.9,254.6,187.6,251.1,47.1,656.6,1031.0,635.1,639.0,251.4,45.8,86.4,82.2,2.1,79.8,54.3,46.1,46.0,27.1
01/01/2017 02:00,10.026,8.417,127.1,124.0,301.3,111.4,2750.0,199.1,197.8,111.5,108.3,49.6,60.8,191.8,254.6,187.7,251.1,47.1,656.9,1031.0,635.8,639.4,251.4,44.5,86.6,81.7,2.7,80.0,55.0,53.3,41.0,21.9
01/01/2017 03:00,10.036,8.445,127.0,123.9,301.3,111.4,2751.0,198.9,197.7,111.4,108.3,50.4,60.7,191.9,254.8,187.6,251.3,47.2,657.0,1030.0,635.8,639.5,251.5,46.2,86.6,80.6,1.0,79.9,54.9,54.8,39.0,21.5
01/01/2017 04:00,10.034,8.454,127.0,123.9,301.2,111.1,2749.0,200.1,198.1,111.2,107.9,51.3,60.5,191.9,254.7,187.4,251.3,47.2,657.4,1031.0,635.6,639.3,251.5,44.6,86.7,79.0,0.6,80.0,54.7,61.0,35.0,19.4
01/01/2017 05:00,10.036,8.474,126.9,123.8,301.2,111.0,2748.0,199.8,197.9,111.1,107.9,51.6,60.3,192.0,254.7,187.6,251.2,47.2,657.5,1031.0,635.9,639.5,251.6,44.7,86.8,79.4,0.7,80.0,54.4,61.6,34.0,18.4
01/01/2017 06:00,10.036,8.456,126.9,123.8,301.2,111.0,2751.0,198.9,197.5,111.1,107.7,52.6,60.4,191.9,254.5,187.5,251.0,47.1,657.5,1031.0,636.3,639.9,251.3,44.4,86.8,78.8,0.7,80.1,54.6,59.6,34.0,16.0
01/01/2017 07:00,10.068,8.479,126.8,123.7,301.2,110.3,2749.0,199.1,197.4,110.3,107.1,53.1,60.2,191.2,253.5,186.7,250.3,47.1,660.8,1035.0,639.1,642.8,250.5,44.1,86.8,75.5,nan,80.1,54.4,58.0,32.0,15.8
01/01/2017 08:00,10.082,8.49,126.8,123.7,301.3,110.2,2748.0,199.2,197.2,110.3,107.0,53.7,60.5,191.0,253.5,186.5,250.1,47.1,661.5,1037.0,639.6,643.4,250.4,44.1,86.8,75.5,nan,80.0,54.7,56.6,32.0,17.2
01/01/2017 09:00,10.054,8.432,126.8,123.8,301.3,110.5,2750.0,199.8,197.6,110.7,107.6,54.6,60.7,191.4,253.6,186.9,250.4,47.1,661.1,1037.0,639.1,643.0,250.5,43.9,86.9,74.6,nan,80.3,54.9,48.5,43.0,26.1
01/01/2017 10:00,10.077,8.377,126.9,123.9,301.3,111.0,2751.0,200.6,198.5,111.2,108.3,53.9,60.9,191.8,254.3,187.3,250.8,47.0,660.0,1037.0,638.7,642.8,251.0,44.5,86.6,77.4,1.0,80.0,55.0,38.5,54.0,34.8
01/01/2017 11:00,10.019,8.229,127.2,124.2,301.3,112.3,2754.0,200.9,198.8,112.6,109.6,51.0,61.4,192.5,255.5,188.2,252.0,47.0,655.5,1032.0,635.2,639.0,252.3,46.0,86.6,84.0,4.9,80.2,55.6,38.5,63.0,40.9
01/01/2017 12:00,10.053,8.236,127.4,124.6,301.3,112.5,2751.0,199.2,197.8,112.8,109.8,48.4,61.7,192.8,255.9,188.3,252.1,47.0,655.0,1031.0,635.5,639.1,252.5,45.8,86.3,89.6,10.8,80.0,55.8,32.8,65.0,42.5
