Brine_p,brine_t,brinein_m1,pumpspeed,AmbientT,gross_p,pumpcost,brineout_T
126.7,299.0,184.94565,1019.86456,275.42776,10070.688,1231.79,331.35355
126.8,298.9,186.67278,1037.4886,276.42776,9878.169,1224.4552,332.04355
126.7,298.9,184.40222,1010.86615,276.7611,9813.515,1222.8827,332.26416
126.8,298.9,184.50557,1012.5101,276.53888,9859.969,1223.9335,332.1183
126.8,299.0,184.06021,1008.9952,276.09445,9938.782,1226.0056,331.80515
126.8,298.9,186.71677,1038.987,275.65,10023.3545,1228.0383,331.49466
126.7,298.9,186.71135,1037.7029,275.2611,10083.012,1229.7847,331.21582
126.7,298.9,186.72481,1040.0269,274.81668,10172.949,1237.2527,330.91425
126.7,298.9,186.60779,1039.2684,274.37222,10250.487,1239.176,330.57413
126.7,298.9,186.72842,1041.2241,273.92776,10333.253,1241.06,330.28714
126.7,298.9,186.61317,1040.4758,273.48334,10413.211,1242.9049,329.98892
126.7,298.79996,186.71815,1041.0592,273.20557,10461.156,1244.0381,329.78714
126.7,298.79996,186.68478,1040.8103,273.09445,10473.539,1244.487,329.6851
126.6,298.79996,186.7285,1041.2977,273.0,10493.791,1244.8667,329.6463
126.7,298.9,186.72836,1042.2195,273.15,10475.119,1244.2628,329.7616
126.7,298.9,186.72849,1042.23,273.15,10472.377,1244.2628,329.75012
126.7,298.9,186.68758,1041.8398,273.09445,10479.937,1244.487,329.7092
126.7,298.9,186.7285,1042.2927,273.09445,10485.429,1244.487,329.70987
126.7,299.0,186.72766,1043.2048,273.15,10481.508,1244.2628,329.75827
126.7,299.0,186.72224,1040.7242,273.20557,10468.451,1244.0381,329.78558
126.7,298.9,186.7285,1041.9957,273.31668,10438.709,1243.5867,329.86597
126.7,298.9,186.71968,1041.8428,273.37222,10420.194,1243.36,329.8801
126.9,298.9,186.72847,1042.1276,273.42776,10415.353,1243.1328,329.92545
126.7,298.79996,183.57903,1004.78687,273.48334,10393.226,1242.9049,329.9455
126.6,298.79996,186.7285,1040.512,273.59445,10375.339,1242.4474,330.0175
126.6,298.7,186.7285,1039.4972,273.65,10355.966,1242.2178,330.05234
126.7,298.7,186.7285,1039.7666,273.53888,10376.566,1242.6765,329.95627
126.7,298.7,186.7148,1039.8237,273.37222,10404.716,1243.36,329.83484
126.7,298.79996,186.72847,1041.1744,273.20557,10444.71,1244.0381,329.76193
126.7,298.79996,186.72847,1041.3258,273.09445,10462.534,1244.487,329.67477
126.7,298.9,186.72675,1042.395,273.0,10489.179,1244.8667,329.6131
126.6,298.9,186.7285,1042.2968,273.0,10486.42,1244.8667,329.62225
126.6,299.0,186.7285,1043.2584,273.0,10495.583,1244.8667,329.6327
126.7,299.0,186.7285,1043.4033,273.0,10484.536,1244.8667,329.62134
126.7,299.0,186.72095,1043.2977,273.0,10490.0625,1244.8667,329.62115
126.7,299.0,186.72849,1043.3865,273.0,10487.3,1244.8667,329.62616
126.7,299.0,186.72842,1043.3975,273.0,10490.0625,1244.8667,329.62036
126.7,299.0,186.72833,1043.4037,273.0,10487.3,1244.8667,329.62564
126.6,299.0,182.95778,1000.13916,273.0,10485.28,1242.1034,329.63266
126.6,299.0,186.72844,1043.3246,273.0,10493.546,1242.1034,329.64264
126.7,298.9,182.07631,989.209,273.0,10471.348,1239.3439,329.63568
126.7,298.9,186.72849,1042.4229,273.0,10471.348,1239.3439,329.6261
126.6,298.9,186.72847,1042.2794,273.0,10474.103,1239.3439,329.62732
126.7,298.9,186.7285,1042.4049,273.0,10474.103,1239.3439,329.63907
126.7,298.9,186.7285,1042.456,273.0,10474.103,1239.3439,329.63715
126.7,298.9,186.70772,1042.1938,273.0,10490.593,1239.3439,329.6158
126.7,299.0,186.7285,1043.4026,273.0,10532.498,1239.3439,329.637
126.8,299.0,186.71465,1042.0393,273.0,10546.086,1239.3439,329.6246
126.9,299.0,181.61523,985.1254,273.03888,10576.626,1239.188,329.66382
127.0,299.0,186.7285,1042.5961,273.42776,10487.654,1237.613,329.90802
127.40001,299.0,186.7285,1043.6222,273.53888,10448.106,1237.1576,329.9516
131.1,298.9,186.72308,1044.195,276.03888,9965.552,1231.7607,331.64877
129.7,298.9,186.7285,1041.9725,276.37222,9910.912,1230.2112,331.93866
128.9,298.9,186.71048,1040.6686,276.42776,9905.587,1229.9508,332.0091
128.4,298.9,186.72261,1040.0729,276.48334,9895.204,1229.6898,332.0644
128.2,298.9,186.7145,1039.7074,276.48334,9900.246,1229.6898,332.0749
128.0,298.9,186.70023,1039.217,276.53888,9884.822,1229.4281,332.10873
127.799995,299.0,186.13857,1033.5125,276.53888,9893.386,1229.4281,332.10736
127.5,299.0,186.6967,1039.4924,276.59445,9882.996,1229.1659,332.14313
127.40001,298.9,186.7285,1039.9717,275.59445,10066.625,1233.7922,331.45972
127.2,298.9,182.89825,998.7133,273.42776,10472.311,1243.1328,329.98706
127.1,298.9,186.7285,1042.6094,273.2611,10500.739,1243.8126,329.86765
127.0,298.9,182.65123,995.91626,273.20557,10508.398,1244.0381,329.83017
126.9,298.79996,186.7285,1041.4437,273.20557,10504.721,1244.0381,329.8166
126.9,298.79996,186.7285,1041.6788,273.0,10534.877,1244.8667,329.66647
126.8,298.79996,186.7284,1041.3599,273.15,10506.9375,1244.2628,329.77863
126.7,298.9,186.7285,1042.303,273.09445,10529.126,1244.487,329.7572
126.7,298.9,186.72849,1042.4094,273.0,10549.458,1244.8667,329.685
126.8,298.9,186.7285,1042.5562,273.0,10554.898,1244.8667,329.683
126.8,298.9,186.7285,1042.1305,273.2611,10506.148,1243.8126,329.8533
126.8,298.9,186.72821,1042.3514,273.15,10524.189,1244.2628,329.78134
126.8,298.9,186.7285,1042.5532,273.0,10549.458,1244.8667,329.6742
126.8,298.9,186.7285,1042.5392,273.0,10544.012,1244.8667,329.66336
126.9,298.9,186.72849,1038.8176,275.98334,9988.702,1232.0168,331.69458
127.0,299.0,186.72833,1036.3103,278.7611,9477.177,1218.4554,333.62738
127.1,299.0,186.56425,1032.526,280.20557,9206.362,1210.7913,334.61813
127.1,299.0,184.72992,1060.9978,283.03888,8693.416,1194.5339,336.58972
127.2,299.0,180.42796,995.82166,285.98334,8183.8076,1175.9119,338.68228
127.3,299.0,186.60838,1061.0,287.48334,7926.598,1165.7446,339.7316
